Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DIMS,Chrome 98.0.4758.102,,,2022-03-13 18:10:03,2022-03-13 18:10:30,"27,099s",PASSED
,,,,,,,
Test Cases/Delete Office - 6,Chrome 98.0.4758.102,,,2022-03-13 18:10:04,2022-03-13 18:10:30,"26,367s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-13 18:10:04,2022-03-13 18:10:07,"2,409s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-03-13 18:10:07,2022-03-13 18:10:23,"15,744s",PASSED
"setText(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-03-13 18:10:23,2022-03-13 18:10:23,"0,873s",PASSED
"setText(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-03-13 18:10:23,2022-03-13 18:10:24,"0,777s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/button_Login""))",Chrome 98.0.4758.102,,,2022-03-13 18:10:24,2022-03-13 18:10:27,"2,655s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-03-13 18:10:27,2022-03-13 18:10:28,"0,747s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_Office""))",Chrome 98.0.4758.102,,,2022-03-13 18:10:28,2022-03-13 18:10:28,"0,594s",PASSED
"click(findTestObject(""Delete Options/choose office - 6""))",Chrome 98.0.4758.102,,,2022-03-13 18:10:28,2022-03-13 18:10:29,"0,860s",PASSED
"click(findTestObject(""Delete Options/Delete button""))",Chrome 98.0.4758.102,,,2022-03-13 18:10:29,2022-03-13 18:10:30,"0,482s",PASSED
"click(findTestObject(""Delete Options/button_Accept""))",Chrome 98.0.4758.102,,,2022-03-13 18:10:30,2022-03-13 18:10:30,"0,704s",PASSED
