Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lead,Chrome 98.0.4758.102,,,2022-03-16 13:31:25,2022-03-16 13:32:02,"37,197s",PASSED
,,,,,,,
Test Cases/Create Lead,Chrome 98.0.4758.102,,,2022-03-16 13:31:26,2022-03-16 13:32:02,"36,489s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-16 13:31:27,2022-03-16 13:31:29,"2,452s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-03-16 13:31:29,2022-03-16 13:31:45,"15,805s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-03-16 13:31:45,2022-03-16 13:31:46,"0,852s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-03-16 13:31:46,2022-03-16 13:31:47,"0,779s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 98.0.4758.102,,,2022-03-16 13:31:47,2022-03-16 13:31:49,"2,602s",PASSED
"click(findTestObject(""Object Repository/Create Lead/strong_My Tools""))",Chrome 98.0.4758.102,,,2022-03-16 13:31:49,2022-03-16 13:31:50,"0,803s",PASSED
"click(findTestObject(""Object Repository/Create Lead/span_New Lead""))",Chrome 98.0.4758.102,,,2022-03-16 13:31:50,2022-03-16 13:31:51,"0,610s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneAdvertising-Stop My Payday_d308cb""), ""3"", true)",Chrome 98.0.4758.102,,,2022-03-16 13:31:51,2022-03-16 13:31:52,"1,446s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneHFG 2020HFG NONEHFG PAYDAY_f27ab0""), ""2"", true)",Chrome 98.0.4758.102,,,2022-03-16 13:31:52,2022-03-16 13:31:53,"1,259s",PASSED
"setText(findTestObject(""Create Lead/input_First Name""), firstname)",Chrome 98.0.4758.102,,,2022-03-16 13:31:53,2022-03-16 13:31:54,"0,728s",PASSED
"setText(findTestObject(""Create Lead/input_Last Name""), lastname)",Chrome 98.0.4758.102,,,2022-03-16 13:31:54,2022-03-16 13:31:55,"0,727s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneUS Armed Forces EuropeAlas_fd93bc""), ""2: 2"", true)",Chrome 98.0.4758.102,,,2022-03-16 13:31:55,2022-03-16 13:31:56,"1,735s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Home Phone_form-control shadow-none n_1c6889""), phone)",Chrome 98.0.4758.102,,,2022-03-16 13:31:56,2022-03-16 13:31:57,"0,766s",PASSED
"setText(findTestObject(""Create Lead/input_Email_form-control shadow-none ng-untouched ng-pristine ng-invalid""), email)",Chrome 98.0.4758.102,,,2022-03-16 13:31:57,2022-03-16 13:31:58,"0,830s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-16 13:31:58,2022-03-16 13:32:00,"2,037s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 98.0.4758.102,,,2022-03-16 13:32:00,2022-03-16 13:32:00,"0,379s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-16 13:32:00,2022-03-16 13:32:02,"2,004s",PASSED
