Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ip restrictions,Chrome 98.0.4758.102,,,2022-03-18 09:48:47,2022-03-18 09:49:46,"58,862s",PASSED
,,,,,,,
Test Cases/Add IP,Chrome 98.0.4758.102,,,2022-03-18 09:48:48,2022-03-18 09:49:14,"26,350s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-18 09:48:48,2022-03-18 09:48:50,"1,914s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-03-18 09:48:50,2022-03-18 09:48:59,"8,927s",PASSED
"setText(findTestObject(""Object Repository/Add IP objects/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-03-18 09:48:59,2022-03-18 09:49:00,"0,904s",PASSED
"setText(findTestObject(""Object Repository/Add IP objects/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-03-18 09:49:00,2022-03-18 09:49:00,"0,782s",PASSED
"click(findTestObject(""Object Repository/Add IP objects/button_Login""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:00,2022-03-18 09:49:03,"2,586s",PASSED
"click(findTestObject(""Object Repository/Add IP objects/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:03,2022-03-18 09:49:04,"0,765s",PASSED
"click(findTestObject(""Object Repository/Add IP objects/span_IP Restrictions""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:04,2022-03-18 09:49:04,"0,512s",PASSED
"click(findTestObject(""Object Repository/Add IP objects/button_Welcome, Julio Uzctegui_addButton""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:04,2022-03-18 09:49:05,"0,700s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Add IP objects/select_Select OneDebt - ImsConsumer Capital_056a35""), ""9"", true)",Chrome 98.0.4758.102,,,2022-03-18 09:49:05,2022-03-18 09:49:06,"1,369s",PASSED
"setText(findTestObject(""Object Repository/Add IP objects/input_IP Address_form-control shadow-none n_fc27df""), ip)",Chrome 98.0.4758.102,,,2022-03-18 09:49:06,2022-03-18 09:49:07,"0,791s",PASSED
"setText(findTestObject(""Add IP objects/input_Description_form-control shadow-none ng-untouched ng-pristine ng-invalid""), ipname)",Chrome 98.0.4758.102,,,2022-03-18 09:49:07,2022-03-18 09:49:08,"0,721s",PASSED
"click(findTestObject(""Object Repository/Add IP objects/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:08,2022-03-18 09:49:08,"0,373s",PASSED
"click(findTestObject(""edit actions/button_Accept""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:08,2022-03-18 09:49:14,"5,413s",PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-18 09:49:14,2022-03-18 09:49:14,"0,124s",PASSED
,,,,,,,
Test Cases/Edit IP,Chrome 98.0.4758.102,,,2022-03-18 09:49:14,2022-03-18 09:49:31,"17,372s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-18 09:49:14,2022-03-18 09:49:15,"0,785s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-03-18 09:49:15,2022-03-18 09:49:19,"3,496s",PASSED
"setText(findTestObject(""Object Repository/Edit Ip Office/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-03-18 09:49:19,2022-03-18 09:49:19,"0,710s",PASSED
"setText(findTestObject(""Object Repository/Add IP objects/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-03-18 09:49:19,2022-03-18 09:49:20,"0,697s",PASSED
"click(findTestObject(""Object Repository/Edit Ip Office/button_Login""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:20,2022-03-18 09:49:23,"2,471s",PASSED
"click(findTestObject(""Object Repository/Edit Ip Office/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:23,2022-03-18 09:49:23,"0,723s",PASSED
"click(findTestObject(""Object Repository/Edit Ip Office/span_IP Restrictions""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:23,2022-03-18 09:49:24,"0,513s",PASSED
"setText(findTestObject(""Object Repository/Edit Ip Office/input_IP Restrictions_p-inputtext p-compone_ad6e79""), ""Ip cgts"")",Chrome 98.0.4758.102,,,2022-03-18 09:49:24,2022-03-18 09:49:25,"1,013s",PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-18 09:49:25,2022-03-18 09:49:26,"1,033s",PASSED
"click(findTestObject(""Object Repository/Edit Ip Office/button_Active_editButton""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:26,2022-03-18 09:49:26,"0,413s",PASSED
"setText(findTestObject(""Object Repository/Edit Ip Office/input_IP Address_form-control shadow-none n_a5e085""), ip)",Chrome 98.0.4758.102,,,2022-03-18 09:49:26,2022-03-18 09:49:27,"0,978s",PASSED
"setText(findTestObject(""Add IP objects/input_Description_form-control shadow-none ng-untouched ng-pristine ng-invalid""), ipname)",Chrome 98.0.4758.102,,,2022-03-18 09:49:27,2022-03-18 09:49:28,"0,759s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-18 09:49:28,2022-03-18 09:49:30,"2,004s",PASSED
"click(findTestObject(""Edit Ip Office/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:30,2022-03-18 09:49:30,"0,391s",PASSED
"click(findTestObject(""Edit Ip Office/button_Accept""), STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-18 09:49:30,2022-03-18 09:49:31,"0,692s",PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-18 09:49:31,2022-03-18 09:49:31,"0,238s",PASSED
,,,,,,,
Test Cases/Delete Ip,Chrome 98.0.4758.102,,,2022-03-18 09:49:31,2022-03-18 09:49:46,"14,497s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-18 09:49:32,2022-03-18 09:49:32,"0,780s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-03-18 09:49:32,2022-03-18 09:49:36,"3,597s",PASSED
"setText(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-03-18 09:49:36,2022-03-18 09:49:37,"0,737s",PASSED
"setText(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-03-18 09:49:37,2022-03-18 09:49:37,"0,697s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/button_Login""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:37,2022-03-18 09:49:40,"2,446s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:40,2022-03-18 09:49:41,"0,752s",PASSED
"click(findTestObject(""Object Repository/Edit Ip Office/span_IP Restrictions""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:41,2022-03-18 09:49:41,"0,511s",PASSED
"setText(findTestObject(""Object Repository/Edit Ip Office/input_IP Restrictions_p-inputtext p-compone_ad6e79""), ""Ip CGTS modificada"")",Chrome 98.0.4758.102,,,2022-03-18 09:49:41,2022-03-18 09:49:42,"1,050s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-18 09:49:42,2022-03-18 09:49:44,"2,004s",PASSED
"click(findTestObject(""Delete Options/Choose office""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:44,2022-03-18 09:49:45,"0,379s",PASSED
"click(findTestObject(""Delete Options/deleteButton ip""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:45,2022-03-18 09:49:45,"0,587s",PASSED
"click(findTestObject(""Delete Options/button_Accept ip""))",Chrome 98.0.4758.102,,,2022-03-18 09:49:45,2022-03-18 09:49:46,"0,670s",PASSED
