Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Programs,Chrome 98.0.4758.102,,,2022-03-22 00:26:10,2022-03-22 00:27:39,"1m - 28,941s",PASSED
,,,,,,,
Test Cases/Add Programs,Chrome 98.0.4758.102,,,2022-03-22 00:26:10,2022-03-22 00:27:39,"1m - 28,374s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-22 00:26:11,2022-03-22 00:26:13,"1,840s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-03-22 00:26:13,2022-03-22 00:26:32,"19,502s",PASSED
"setText(findTestObject(""Object Repository/Programs/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-03-22 00:26:32,2022-03-22 00:26:33,"0,820s",PASSED
"setText(findTestObject(""Object Repository/Programs/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-03-22 00:26:33,2022-03-22 00:26:34,"0,754s",PASSED
"click(findTestObject(""Object Repository/Programs/button_Login""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:34,2022-03-22 00:26:36,"2,515s",PASSED
"click(findTestObject(""Object Repository/Programs/strong_Maintenance Tools""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:36,2022-03-22 00:26:37,"0,810s",PASSED
"click(findTestObject(""Object Repository/Programs/span_Programs""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:37,2022-03-22 00:26:38,"0,498s",PASSED
"click(findTestObject(""Object Repository/Programs/button_Welcome, Julio Uzctegui_addButton""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:38,2022-03-22 00:26:39,"1,115s",PASSED
"click(findTestObject(""Object Repository/Programs/div_Select an Office(s)""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:39,2022-03-22 00:26:40,"0,691s",PASSED
"click(findTestObject(""Object Repository/Programs/div_Debt - Ims_p-checkbox-box""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:40,2022-03-22 00:26:40,"0,506s",PASSED
"setText(findTestObject(""Object Repository/Programs/input_Username_form-control w-75 ng-untouch_2a886e""), programname)",Chrome 98.0.4758.102,,,2022-03-22 00:26:40,2022-03-22 00:26:41,"0,831s",PASSED
"click(findTestObject(""Object Repository/Programs/div_Select a Pay Frequencie(s)""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:41,2022-03-22 00:26:41,"0,395s",PASSED
"click(findTestObject(""Object Repository/Programs/div_Semi  Monthly_p-checkbox-box""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:41,2022-03-22 00:26:42,"0,577s",PASSED
"setText(findTestObject(""Object Repository/Programs/input_Email_form-control shadow-none ng-unt_36dc17""), email)",Chrome 98.0.4758.102,,,2022-03-22 00:26:42,2022-03-22 00:26:43,"0,880s",PASSED
"doubleClick(findTestObject(""Programs/Page_Debt IMS/input_Debt amount From_""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:43,2022-03-22 00:26:43,"0,689s",PASSED
"setText(findTestObject(""Programs/Page_Debt IMS/input_Minimum Debt Accepted""), minimumdebt)",Chrome 98.0.4758.102,,,2022-03-22 00:26:43,2022-03-22 00:26:44,"0,705s",PASSED
"doubleClick(findTestObject(""Programs/Page_Debt IMS/input_Minimum Creditor Balance""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:44,2022-03-22 00:26:45,"0,483s",PASSED
"setText(findTestObject(""Programs/Page_Debt IMS/input_Minimum Creditor Balance""), minimumCreditor)",Chrome 98.0.4758.102,,,2022-03-22 00:26:45,2022-03-22 00:26:45,"0,667s",PASSED
"doubleClick(findTestObject(""Programs/Page_Debt IMS/input_Program Minimum Payment_for""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:45,2022-03-22 00:26:46,"0,474s",PASSED
"setText(findTestObject(""Programs/Page_Debt IMS/input_Program Minimum Payment_for""), programminimum)",Chrome 98.0.4758.102,,,2022-03-22 00:26:46,2022-03-22 00:26:46,"0,635s",PASSED
"doubleClick(findTestObject(""Programs/Page_Debt IMS/input_Debt amount From_""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:46,2022-03-22 00:26:47,"0,477s",PASSED
"setText(findTestObject(""Programs/Page_Debt IMS/input_Debt amount From_""), debtamountfrom)",Chrome 98.0.4758.102,,,2022-03-22 00:26:47,2022-03-22 00:26:48,"0,683s",PASSED
"doubleClick(findTestObject(""Programs/Page_Debt IMS/input_Debt amount To_""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:48,2022-03-22 00:26:48,"0,447s",PASSED
"setText(findTestObject(""Programs/Page_Debt IMS/input_Debt amount To_""), debtamountto)",Chrome 98.0.4758.102,,,2022-03-22 00:26:48,2022-03-22 00:26:49,"0,692s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Programs/select_Select One12345678910111213141516171_b2f31c""), ""10"", true)",Chrome 98.0.4758.102,,,2022-03-22 00:26:49,2022-03-22 00:26:50,"1,756s",PASSED
"click(findTestObject(""Object Repository/Programs/button_Add""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:50,2022-03-22 00:26:51,"0,361s",PASSED
"click(findTestObject(""Object Repository/Programs/div_Select a Unacceptable debt(s)""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:51,2022-03-22 00:26:51,"0,436s",PASSED
"click(findTestObject(""Object Repository/Programs/div_Only medical_p-checkbox-box""))",Chrome 98.0.4758.102,,,2022-03-22 00:26:51,2022-03-22 00:27:23,"31,529s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Programs/select_Select OneYesNo""), ""false"", true)",Chrome 98.0.4758.102,,,2022-03-22 00:27:23,2022-03-22 00:27:24,"1,013s",PASSED
