Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Email Campaings,Chrome 98.0.4758.102,,,2022-04-01 14:10:24,2022-04-01 14:11:47,"1m - 23,739s",PASSED
,,,,,,,
Test Cases/Add Email Campaing,Chrome 98.0.4758.102,,,2022-04-01 14:10:24,2022-04-01 14:11:02,"37,338s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-04-01 14:10:25,2022-04-01 14:10:28,"2,452s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-04-01 14:10:28,2022-04-01 14:10:43,"15,038s",PASSED
"setText(findTestObject(""Object Repository/Email Templates/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-04-01 14:10:43,2022-04-01 14:10:43,"0,855s",PASSED
"setText(findTestObject(""Object Repository/Email Templates/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-04-01 14:10:43,2022-04-01 14:10:44,"0,842s",PASSED
"click(findTestObject(""Object Repository/Email Templates/Page_Debt IMS/button_Login""))",Chrome 98.0.4758.102,,,2022-04-01 14:10:44,2022-04-01 14:10:47,"2,637s",PASSED
"click(findTestObject(""Object Repository/Email Templates/Page_Debt IMS/strong_Maintenance Tools""))",Chrome 98.0.4758.102,,,2022-04-01 14:10:47,2022-04-01 14:10:48,"0,696s",PASSED
"click(findTestObject(""Email Campaings/add/span_Email Campaigns""))",Chrome 98.0.4758.102,,,2022-04-01 14:10:48,2022-04-01 14:10:48,"0,554s",PASSED
"click(findTestObject(""Email Campaings/add/button_Welcome, Julio Uzctegui_addButton""))",Chrome 98.0.4758.102,,,2022-04-01 14:10:48,2022-04-01 14:10:49,"0,792s",PASSED
"selectOptionByValue(findTestObject(""Email Campaings/add/select_Select OneDebt - ImsConsumer""), ""1"", true)",Chrome 98.0.4758.102,,,2022-04-01 14:10:49,2022-04-01 14:10:50,"1,293s",PASSED
"selectOptionByValue(findTestObject(""Email Campaings/add/select_Select status""), ""1"", true)",Chrome 98.0.4758.102,,,2022-04-01 14:10:50,2022-04-01 14:10:51,"1,119s",PASSED
"selectOptionByValue(findTestObject(""Email Campaings/add/select_Select OneNew LeadEmail""), ""1"", true)",Chrome 98.0.4758.102,,,2022-04-01 14:10:51,2022-04-01 14:10:52,"0,905s",PASSED
"selectOptionByValue(findTestObject(""Email Campaings/add/select_Select OneEmailTestCzxcz""), ""1"", true)",Chrome 98.0.4758.102,,,2022-04-01 14:10:52,2022-04-01 14:10:53,"0,962s",PASSED
"setText(findTestObject(""Email Campaings/add/input_Campaign Name_""), name)",Chrome 98.0.4758.102,,,2022-04-01 14:10:53,2022-04-01 14:10:54,"0,714s",PASSED
