Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teams,Chrome 98.0.4758.102,,,2022-04-08 14:43:24,2022-04-08 14:45:20,"1m - 55,750s",PASSED
,,,,,,,
Test Cases/Add Teams,Chrome 98.0.4758.102,,,2022-04-08 14:43:25,2022-04-08 14:43:44,"19,041s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-04-08 14:43:25,2022-04-08 14:43:27,"1,985s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-04-08 14:43:27,2022-04-08 14:43:36,"8,658s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-04-08 14:43:36,2022-04-08 14:43:37,"0,813s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-04-08 14:43:37,2022-04-08 14:43:38,"0,779s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:38,2022-04-08 14:43:38,"0,424s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:38,2022-04-08 14:43:39,"0,772s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/span_Teams""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:39,2022-04-08 14:43:39,"0,539s",PASSED
"click(findTestObject(""Create Lead/Page_Debt IMS/button_Welcome, Julio Uzctegui_addButton""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:39,2022-04-08 14:43:40,"0,763s",PASSED
"setText(findTestObject(""Teams/Page_Debt IMS/Page_Debt IMS/input_Team Name""), teamname)",Chrome 98.0.4758.102,,,2022-04-08 14:43:40,2022-04-08 14:43:41,"1,015s",PASSED
"selectOptionByValue(findTestObject(""Teams/Page_Debt IMS/Page_Debt IMS/Page_Debt IMS/select_Select OneDebt - ImsConsumer Capital_47cd32""), ""1"", false)",Chrome 98.0.4758.102,,,2022-04-08 14:43:41,2022-04-08 14:43:42,"0,708s",PASSED
"selectOptionByValue(findTestObject(""Teams/Page_Debt IMS/Page_Debt IMS/Page_Debt IMS/select_Select OneDixon GranadoJose Urribarr_e2400b""), ""1002"", false)",Chrome 98.0.4758.102,,,2022-04-08 14:43:42,2022-04-08 14:43:42,"0,668s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/div_Select a User(s)""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:42,2022-04-08 14:43:43,"0,409s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/Page_Debt IMS/div_Select a team members primero""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:43,2022-04-08 14:43:43,"0,560s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:43,2022-04-08 14:43:44,"0,485s",PASSED
,,,,,,,
Test Cases/Edit Teams,Chrome 98.0.4758.102,,,2022-04-08 14:43:44,2022-04-08 14:45:05,"1m - 20,792s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-04-08 14:43:44,2022-04-08 14:43:45,"0,961s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-04-08 14:43:45,2022-04-08 14:43:51,"5,369s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-04-08 14:43:51,2022-04-08 14:43:51,"0,708s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-04-08 14:43:51,2022-04-08 14:43:52,"0,709s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:52,2022-04-08 14:43:55,"2,516s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:55,2022-04-08 14:43:55,"0,744s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/span_Teams""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:55,2022-04-08 14:43:56,"0,518s",PASSED
"setText(findTestObject(""Teams/Page_Debt IMS/input_Teams_p-inputtext p-component p-element""), ""test aut"")",Chrome 98.0.4758.102,,,2022-04-08 14:43:56,2022-04-08 14:43:57,"1,003s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/button_Team Details_editButton""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:57,2022-04-08 14:43:58,"0,855s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/div_members""))",Chrome 98.0.4758.102,,,2022-04-08 14:43:58,2022-04-08 14:44:30,"32,294s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/div_select 2nd member""))",Chrome 98.0.4758.102,,,2022-04-08 14:44:30,2022-04-08 14:45:03,"32,735s",PASSED
"setText(findTestObject(""Teams/Page_Debt IMS/Page_Debt IMS/input_Team Name""), teamname)",Chrome 98.0.4758.102,,,2022-04-08 14:45:03,2022-04-08 14:45:04,"0,876s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:04,2022-04-08 14:45:04,"0,431s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/button_Accept edit""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:04,2022-04-08 14:45:05,"0,650s",PASSED
,,,,,,,
Test Cases/Delete Teams,Chrome 98.0.4758.102,,,2022-04-08 14:45:05,2022-04-08 14:45:20,"15,298s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-04-08 14:45:05,2022-04-08 14:45:06,"0,931s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-04-08 14:45:06,2022-04-08 14:45:12,"6,283s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-04-08 14:45:12,2022-04-08 14:45:13,"0,687s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-04-08 14:45:13,2022-04-08 14:45:14,"0,676s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:14,2022-04-08 14:45:16,"2,464s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/strong_Office Tools""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:16,2022-04-08 14:45:17,"0,740s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/span_Teams""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:17,2022-04-08 14:45:17,"0,484s",PASSED
"setText(findTestObject(""Teams/Page_Debt IMS/input_Teams_p-inputtext p-component p-element""), teamname)",Chrome 98.0.4758.102,,,2022-04-08 14:45:17,2022-04-08 14:45:18,"1,045s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/td_Test aut modifcado""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:18,2022-04-08 14:45:19,"0,381s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/button_Welcome, Julio Uzctegui_deleteButton""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:19,2022-04-08 14:45:19,"0,580s",PASSED
"click(findTestObject(""Teams/Page_Debt IMS/button_Accept delete""))",Chrome 98.0.4758.102,,,2022-04-08 14:45:19,2022-04-08 14:45:20,"0,684s",PASSED
