Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Lead,Chrome 98.0.4758.102,,,2022-04-13 12:00:09,2022-04-13 12:02:00,"1m - 51,406s",PASSED
,,,,,,,
Test Cases/Create Lead - All Fields,Chrome 98.0.4758.102,,,2022-04-13 12:00:10,2022-04-13 12:02:00,"1m - 50,671s",PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-04-13 12:00:10,2022-04-13 12:00:14,"3,642s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 98.0.4758.102,,,2022-04-13 12:00:14,2022-04-13 12:00:30,"16,260s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 98.0.4758.102,,,2022-04-13 12:00:30,2022-04-13 12:00:31,"0,897s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 98.0.4758.102,,,2022-04-13 12:00:31,2022-04-13 12:00:32,"0,733s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 98.0.4758.102,,,2022-04-13 12:00:32,2022-04-13 12:00:32,"0,434s",PASSED
"click(findTestObject(""Object Repository/Create Lead/strong_My Tools""))",Chrome 98.0.4758.102,,,2022-04-13 12:00:32,2022-04-13 12:00:35,"2,958s",PASSED
"click(findTestObject(""Object Repository/Create Lead/span_New Lead""))",Chrome 98.0.4758.102,,,2022-04-13 12:00:35,2022-04-13 12:00:36,"0,670s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneAdvertising-Stop My Payday_d308cb""), ""3"", true)",Chrome 98.0.4758.102,,,2022-04-13 12:00:36,2022-04-13 12:00:38,"1,470s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneHFG 2020HFG NONEHFG PAYDAY_f27ab0""), ""2"", true)",Chrome 98.0.4758.102,,,2022-04-13 12:00:38,2022-04-13 12:00:39,"1,129s",PASSED
"selectOptionByValue(findTestObject(""Create Lead/status select""), ""12"", true)",Chrome 98.0.4758.102,,,2022-04-13 12:00:39,2022-04-13 12:00:40,"1,148s",PASSED
"setText(findTestObject(""Create Lead/input_First Name""), firstname)",Chrome 98.0.4758.102,,,2022-04-13 12:00:40,2022-04-13 12:00:41,"0,819s",PASSED
"setText(findTestObject(""Create Lead/input_Last Name""), lastname)",Chrome 98.0.4758.102,,,2022-04-13 12:00:41,2022-04-13 12:00:41,"0,686s",PASSED
"setText(findTestObject(""Create Lead/input_Address 1""), address1)",Chrome 98.0.4758.102,,,2022-04-13 12:00:41,2022-04-13 12:00:42,"0,783s",PASSED
"setText(findTestObject(""Create Lead/input_Address 2""), address2)",Chrome 98.0.4758.102,,,2022-04-13 12:00:42,2022-04-13 12:00:43,"0,725s",PASSED
"setText(findTestObject(""Create Lead/input_City""), city)",Chrome 98.0.4758.102,,,2022-04-13 12:00:43,2022-04-13 12:00:44,"0,755s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneUS Armed Forces EuropeAlas_fd93bc""), ""2: 2"", true)",Chrome 98.0.4758.102,,,2022-04-13 12:00:44,2022-04-13 12:00:45,"1,677s",PASSED
"setText(findTestObject(""Create Lead/input_Zip""), zip)",Chrome 98.0.4758.102,,,2022-04-13 12:00:45,2022-04-13 12:00:46,"0,672s",PASSED
"selectOptionByValue(findTestObject(""debt ims R/Page_Debt IMS/select_Select OneUNITED STATES OF AMERICA""), ""62"", true)",Chrome 98.0.4758.102,,,2022-04-13 12:00:46,2022-04-13 12:00:47,"0,899s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Home Phone_form-control shadow-none n_1c6889""), homephone)",Chrome 98.0.4758.102,,,2022-04-13 12:00:47,2022-04-13 12:00:48,"0,808s",PASSED
"setText(findTestObject(""Create Lead/input_Work Phone""), workphone)",Chrome 98.0.4758.102,,,2022-04-13 12:00:48,2022-04-13 12:00:48,"0,807s",PASSED
"setText(findTestObject(""Create Lead/input_Cell Phone""), cellphone)",Chrome 98.0.4758.102,,,2022-04-13 12:00:48,2022-04-13 12:00:49,"0,740s",PASSED
"setText(findTestObject(""Create Lead/input_Fax""), fax)",Chrome 98.0.4758.102,,,2022-04-13 12:00:49,2022-04-13 12:00:50,"0,732s",PASSED
"setText(findTestObject(""Create Lead/input_Email_form-control shadow-none ng-untouched ng-pristine ng-invalid""), email)",Chrome 98.0.4758.102,,,2022-04-13 12:00:50,2022-04-13 12:00:51,"0,767s",PASSED
"setText(findTestObject(""Create Lead/input_Mailer Code""), maildercode)",Chrome 98.0.4758.102,,,2022-04-13 12:00:51,2022-04-13 12:00:51,"0,759s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-04-13 12:00:51,2022-04-13 12:00:53,"2,040s",PASSED
"scrollToElement(findTestObject(""Object Repository/Create Lead/button_Welcome, Julio Uzctegui_saveButton""), 0)",Chrome 98.0.4758.102,,,2022-04-13 12:00:53,2022-04-13 12:01:27,"33,356s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 98.0.4758.102,,,2022-04-13 12:01:27,2022-04-13 12:01:58,"31,492s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-04-13 12:01:58,2022-04-13 12:02:00,"2,003s",PASSED
