Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mailer Data,Chrome 100.0.4896.75,,,2022-04-20 12:22:34,2022-04-20 12:24:31,"1m - 56,811s",FAILED
,,,,,,,
Test Cases/Add Mailer Data,Chrome 100.0.4896.75,,,2022-04-20 12:22:35,2022-04-20 12:23:21,"46,245s",PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-20 12:22:36,2022-04-20 12:22:38,"2,430s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-04-20 12:22:38,2022-04-20 12:23:03,"25,044s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-04-20 12:23:03,2022-04-20 12:23:04,"0,883s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-04-20 12:23:04,2022-04-20 12:23:05,"0,751s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 100.0.4896.75,,,2022-04-20 12:23:05,2022-04-20 12:23:07,"2,581s",PASSED
"click(findTestObject(""Object Repository/Create Lead/strong_My Tools""))",Chrome 100.0.4896.75,,,2022-04-20 12:23:07,2022-04-20 12:23:08,"1,031s",PASSED
"click(findTestObject(""Object Repository/Create Lead/span_New Lead""))",Chrome 100.0.4896.75,,,2022-04-20 12:23:08,2022-04-20 12:23:09,"0,649s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneAdvertising-Stop My Payday_d308cb""), ""10"", true)",Chrome 100.0.4896.75,,,2022-04-20 12:23:09,2022-04-20 12:23:11,"2,008s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneHFG 2020HFG NONEHFG PAYDAY_f27ab0""), ""2"", true)",Chrome 100.0.4896.75,,,2022-04-20 12:23:11,2022-04-20 12:23:12,"1,215s",PASSED
"selectOptionByValue(findTestObject(""Create Lead/status select""), ""12"", true)",Chrome 100.0.4896.75,,,2022-04-20 12:23:12,2022-04-20 12:23:13,"1,150s",PASSED
"setText(findTestObject(""Create Lead/input_First Name""), firstname)",Chrome 100.0.4896.75,,,2022-04-20 12:23:13,2022-04-20 12:23:14,"0,746s",PASSED
"setText(findTestObject(""Create Lead/input_Last Name""), lastname)",Chrome 100.0.4896.75,,,2022-04-20 12:23:14,2022-04-20 12:23:15,"0,716s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create Lead/select_Select OneUS Armed Forces EuropeAlas_fd93bc""), ""2: 2"", true)",Chrome 100.0.4896.75,,,2022-04-20 12:23:15,2022-04-20 12:23:17,"1,706s",PASSED
"setText(findTestObject(""Create Lead/input_Zip""), zip)",Chrome 100.0.4896.75,,,2022-04-20 12:23:17,2022-04-20 12:23:17,"0,653s",PASSED
"selectOptionByValue(findTestObject(""debt ims R/Page_Debt IMS/select_Select OneUNITED STATES OF AMERICA""), ""62"", true)",Chrome 100.0.4896.75,,,2022-04-20 12:23:17,2022-04-20 12:23:18,"0,933s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Home Phone_form-control shadow-none n_1c6889""), homephone)",Chrome 100.0.4896.75,,,2022-04-20 12:23:18,2022-04-20 12:23:19,"0,755s",PASSED
"setText(findTestObject(""Create Lead/input_Email_form-control shadow-none ng-untouched ng-pristine ng-invalid""), email)",Chrome 100.0.4896.75,,,2022-04-20 12:23:19,2022-04-20 12:23:20,"0,730s",PASSED
"setText(findTestObject(""Create Lead/input_Mailer Code""), maildercode)",Chrome 100.0.4896.75,,,2022-04-20 12:23:20,2022-04-20 12:23:20,"0,733s",PASSED
"scrollToElement(findTestObject(""Object Repository/Create Lead/button_Welcome, Julio Uzctegui_saveButton""), 0)",Chrome 100.0.4896.75,,,2022-04-20 12:23:20,2022-04-20 12:23:21,"0,340s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 100.0.4896.75,,,2022-04-20 12:23:21,2022-04-20 12:23:21,"0,341s",PASSED
,,,,,,,
Test Cases/Search Mailer Data,Chrome 100.0.4896.75,,,2022-04-20 12:23:21,2022-04-20 12:24:31,"1m - 9,439s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-20 12:23:22,2022-04-20 12:23:23,"1,253s",PASSED
