Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Worklist,Chrome 100.0.4896.75,,,2022-04-22 12:11:38,2022-04-22 12:12:15,"37,440s",FAILED
,,,,,,,
Test Cases/Filter My Worklist,Chrome 100.0.4896.75,,,2022-04-22 12:11:38,2022-04-22 12:12:15,"36,875s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-22 12:11:39,2022-04-22 12:11:41,"1,936s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-04-22 12:11:41,2022-04-22 12:11:48,"7,100s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-04-22 12:11:48,2022-04-22 12:11:49,"0,872s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-04-22 12:11:49,2022-04-22 12:11:49,"0,774s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 100.0.4896.75,,,2022-04-22 12:11:49,2022-04-22 12:11:50,"0,494s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/strong_My Tools""))",Chrome 100.0.4896.75,,,2022-04-22 12:11:50,2022-04-22 12:11:53,"2,892s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/span_My Worklist""))",Chrome 100.0.4896.75,,,2022-04-22 12:11:53,2022-04-22 12:11:53,"0,570s",PASSED
delay(5),Chrome 100.0.4896.75,,,2022-04-22 12:11:53,2022-04-22 12:11:58,"5,043s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/input_From""))",Chrome 100.0.4896.75,,,2022-04-22 12:11:58,2022-04-22 12:11:59,"0,458s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/Page_Debt IMS/span_1""))",Chrome 100.0.4896.75,,,2022-04-22 12:11:59,2022-04-22 12:12:15,"16,205s",FAILED
