Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Breaks,Chrome 100.0.4896.75,,,2022-04-25 09:54:22,2022-04-25 09:55:51,"1m - 28,655s",PASSED
,,,,,,,
Test Cases/Add break,Chrome 100.0.4896.75,,,2022-04-25 09:54:22,2022-04-25 09:54:53,"30,994s",PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-25 09:54:23,2022-04-25 09:54:25,"1,864s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-04-25 09:54:25,2022-04-25 09:54:44,"19,222s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-04-25 09:54:44,2022-04-25 09:54:45,"0,836s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-04-25 09:54:45,2022-04-25 09:54:46,"0,763s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 100.0.4896.75,,,2022-04-25 09:54:46,2022-04-25 09:54:48,"2,563s",PASSED
"click(findTestObject(""Breaks/Page_Debt IMS/strong_Administration""))",Chrome 100.0.4896.75,,,2022-04-25 09:54:48,2022-04-25 09:54:49,"1,085s",PASSED
"click(findTestObject(""Breaks/Page_Debt IMS/span_Breaks""))",Chrome 100.0.4896.75,,,2022-04-25 09:54:49,2022-04-25 09:54:50,"0,501s",PASSED
"click(findTestObject(""Breaks/button_Welcome, Julio Uzctegui_addButton""))",Chrome 100.0.4896.75,,,2022-04-25 09:54:50,2022-04-25 09:54:51,"0,751s",PASSED
"setText(findTestObject(""Breaks/input_Name_form-control shadow-none ng-untouched ng-pristine ng-invalid""), name)",Chrome 100.0.4896.75,,,2022-04-25 09:54:51,2022-04-25 09:54:51,"0,834s",PASSED
"setText(findTestObject(""Breaks/input_Description_form-control shadow-none ng-untouched ng-pristine ng-invalid""), description)",Chrome 100.0.4896.75,,,2022-04-25 09:54:51,2022-04-25 09:54:52,"0,727s",PASSED
"click(findTestObject(""Breaks/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 100.0.4896.75,,,2022-04-25 09:54:52,2022-04-25 09:54:53,"0,401s",PASSED
waitForAngularLoad(0),Chrome 100.0.4896.75,,,2022-04-25 09:54:53,2022-04-25 09:54:53,"0,126s",PASSED
takeFullPageScreenshot(),Chrome 100.0.4896.75,,,2022-04-25 09:54:53,2022-04-25 09:54:53,"0,764s",PASSED
,,,,,,,
Test Cases/Edit Break,Chrome 100.0.4896.75,,,2022-04-25 09:54:54,2022-04-25 09:55:23,"29,286s",PASSED
