Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bulk Reassign,Chrome 100.0.4896.75,,,2022-05-05 16:01:05,2022-05-05 16:02:31,"1m - 26,283s",FAILED
,,,,,,,
Test Cases/Reassign Leads,Chrome 100.0.4896.75,,,2022-05-05 16:01:05,2022-05-05 16:02:31,"1m - 25,699s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-05 16:01:06,2022-05-05 16:01:08,"2,267s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-05 16:01:08,2022-05-05 16:01:11,"2,606s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-05-05 16:01:11,2022-05-05 16:01:11,"0,830s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-05-05 16:01:11,2022-05-05 16:01:12,"0,760s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 100.0.4896.75,,,2022-05-05 16:01:12,2022-05-05 16:01:15,"2,651s",PASSED
"click(findTestObject(""Distribute Leads/strong_Lead Maintenance""))",Chrome 100.0.4896.75,,,2022-05-05 16:01:15,2022-05-05 16:01:15,"0,654s",PASSED
"click(findTestObject(""Bulk Reassign/span_Bulk Reassign""))",Chrome 100.0.4896.75,,,2022-05-05 16:01:15,2022-05-05 16:01:16,"0,776s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/search ojito add note/Page_Debt IMS/input_From""))",Chrome 100.0.4896.75,,,2022-05-05 16:01:16,2022-05-05 16:01:17,"0,826s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_1""))",Chrome 100.0.4896.75,,,2022-05-05 16:01:17,2022-05-05 16:01:17,"0,432s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/search ojito add note/Page_Debt IMS/input_To_form""))",Chrome 100.0.4896.75,,,2022-05-05 16:01:17,2022-05-05 16:01:18,"0,789s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_31""), OPTIONAL)",Chrome 100.0.4896.75,,,2022-05-05 16:01:18,2022-05-05 16:01:19,"0,439s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_30""), OPTIONAL)",Chrome 100.0.4896.75,,,2022-05-05 16:01:19,2022-05-05 16:01:20,"0,865s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_29""), OPTIONAL)",Chrome 100.0.4896.75,,,2022-05-05 16:01:20,2022-05-05 16:01:20,"0,474s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_28""), OPTIONAL)",Chrome 100.0.4896.75,,,2022-05-05 16:01:20,2022-05-05 16:01:21,"0,466s",PASSED
