Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bulk Update,Chrome 100.0.4896.75,,,2022-05-09 17:35:20,2022-05-09 17:36:42,"1m - 22,171s",FAILED
,,,,,,,
Test Cases/Update Leads,Chrome 100.0.4896.75,,,2022-05-09 17:35:20,2022-05-09 17:36:42,"1m - 21,578s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-09 17:35:21,2022-05-09 17:35:23,"2,440s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-09 17:35:23,2022-05-09 17:36:07,"43,665s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-05-09 17:36:07,2022-05-09 17:36:08,"0,828s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-05-09 17:36:08,2022-05-09 17:36:09,"0,764s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 100.0.4896.75,,,2022-05-09 17:36:09,2022-05-09 17:36:09,"0,482s",PASSED
"click(findTestObject(""Distribute Leads/strong_Lead Maintenance""))",Chrome 100.0.4896.75,,,2022-05-09 17:36:09,2022-05-09 17:36:10,"0,777s",PASSED
"click(findTestObject(""Bulk Update/span_Bulk Update""))",Chrome 100.0.4896.75,,,2022-05-09 17:36:10,2022-05-09 17:36:10,"0,628s",PASSED
"click(findTestObject(""Bulk Update/span_Debt - Ims""))",Chrome 100.0.4896.75,,,2022-05-09 17:36:10,2022-05-09 17:36:42,"31,452s",FAILED
