Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Competitors,Chrome 100.0.4896.75,,,2022-05-12 10:40:20,2022-05-12 10:41:22,"1m - 1,683s",FAILED
,,,,,,,
Test Cases/Edit Competitor,Chrome 100.0.4896.75,,,2022-05-12 10:40:21,2022-05-12 10:41:04,"42,864s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-12 10:40:21,2022-05-12 10:40:23,"2,099s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-12 10:40:23,2022-05-12 10:40:27,"3,447s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-05-12 10:40:27,2022-05-12 10:40:28,"0,853s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-05-12 10:40:28,2022-05-12 10:40:28,"0,819s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 100.0.4896.75,,,2022-05-12 10:40:28,2022-05-12 10:40:31,"2,626s",PASSED
"click(findTestObject(""Competitors/Add Competitors/strong_Maintenance Tools""))",Chrome 100.0.4896.75,,,2022-05-12 10:40:31,2022-05-12 10:40:32,"0,762s",PASSED
"click(findTestObject(""Competitors/Add Competitors/span_Competitors""))",Chrome 100.0.4896.75,,,2022-05-12 10:40:32,2022-05-12 10:40:32,"0,503s",PASSED
"setText(findTestObject(""Competitors/Edit Competitor/input competitors for search""), competitorname)",Chrome 100.0.4896.75,,,2022-05-12 10:40:32,2022-05-12 10:40:33,"1,011s",PASSED
"click(findTestObject(""Competitors/Edit Competitor/button_Competitors_editButton""))",Chrome 100.0.4896.75,,,2022-05-12 10:40:33,2022-05-12 10:40:34,"0,860s",PASSED
"setText(findTestObject(""Competitors/Add Competitors/input_Competitor_form""), competitornamemodify)",Chrome 100.0.4896.75,,,2022-05-12 10:40:34,2022-05-12 10:41:02,"28,062s",PASSED
"click(findTestObject(""Competitors/Add Competitors/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 100.0.4896.75,,,2022-05-12 10:41:02,2022-05-12 10:41:03,"0,475s",PASSED
"click(findTestObject(""Competitors/Edit Competitor/button_Accept""))",Chrome 100.0.4896.75,,,2022-05-12 10:41:03,2022-05-12 10:41:04,"0,858s",FAILED
,,,,,,,
Test Cases/Delete Competitor,Chrome 100.0.4896.75,,,2022-05-12 10:41:04,2022-05-12 10:41:22,"18,171s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-12 10:41:04,2022-05-12 10:41:05,"0,966s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-12 10:41:05,2022-05-12 10:41:09,"3,754s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-05-12 10:41:09,2022-05-12 10:41:10,"0,795s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-05-12 10:41:10,2022-05-12 10:41:10,"0,697s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 100.0.4896.75,,,2022-05-12 10:41:10,2022-05-12 10:41:11,"0,410s",PASSED
"click(findTestObject(""Competitors/Add Competitors/strong_Maintenance Tools""))",Chrome 100.0.4896.75,,,2022-05-12 10:41:11,2022-05-12 10:41:12,"0,715s",PASSED
"click(findTestObject(""Competitors/Add Competitors/span_Competitors""))",Chrome 100.0.4896.75,,,2022-05-12 10:41:12,2022-05-12 10:41:14,"2,577s",PASSED
"setText(findTestObject(""Competitors/Edit Competitor/input competitors for search""), competitornamemodify)",Chrome 100.0.4896.75,,,2022-05-12 10:41:14,2022-05-12 10:41:15,"1,057s",PASSED
"click(findTestObject(""Competitors/Delete competitor/Choose to delete""))",Chrome 100.0.4896.75,,,2022-05-12 10:41:15,2022-05-12 10:41:22,"6,673s",FAILED
