Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Community Rules,Chrome 100.0.4896.75,,,2022-05-18 11:28:53,2022-05-18 11:29:41,"47,538s",PASSED
,,,,,,,
Test Cases/Delete Community Rule,Chrome 100.0.4896.75,,,2022-05-18 11:28:54,2022-05-18 11:29:41,"46,981s",PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-18 11:28:54,2022-05-18 11:28:57,"2,216s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-18 11:28:57,2022-05-18 11:29:30,"33,392s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-05-18 11:29:30,2022-05-18 11:29:31,"0,859s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-05-18 11:29:31,2022-05-18 11:29:32,"0,767s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 100.0.4896.75,,,2022-05-18 11:29:32,2022-05-18 11:29:32,"0,437s",PASSED
"click(findTestObject(""Competitors/Add Competitors/strong_Maintenance Tools""))",Chrome 100.0.4896.75,,,2022-05-18 11:29:32,2022-05-18 11:29:33,"1,214s",PASSED
"click(findTestObject(""Community Rules/Add community rule/span_Community Rules""))",Chrome 100.0.4896.75,,,2022-05-18 11:29:33,2022-05-18 11:29:36,"2,669s",PASSED
"setText(findTestObject(""Competitors/Edit Competitor/input competitors for search""), communityrulenamemodify)",Chrome 100.0.4896.75,,,2022-05-18 11:29:36,2022-05-18 11:29:37,"1,552s",PASSED
"click(findTestObject(""Community Rules/Delete community rule/td_Office_tdEditButton""))",Chrome 100.0.4896.75,,,2022-05-18 11:29:37,2022-05-18 11:29:38,"0,385s",PASSED
"click(findTestObject(""Competitors/Delete competitor/button_Welcome, Julio Uzctegui_deleteButton""))",Chrome 100.0.4896.75,,,2022-05-18 11:29:38,2022-05-18 11:29:38,"0,509s",PASSED
"click(findTestObject(""Competitors/Delete competitor/button_Accept""))",Chrome 100.0.4896.75,,,2022-05-18 11:29:38,2022-05-18 11:29:39,"0,693s",PASSED
delay(1),Chrome 100.0.4896.75,,,2022-05-18 11:29:39,2022-05-18 11:29:40,"1,022s",PASSED
takeFullPageScreenshot([]),Chrome 100.0.4896.75,,,2022-05-18 11:29:40,2022-05-18 11:29:41,"0,793s",PASSED
