Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smtp Management,Chrome 102.0.5005.61,,,2022-06-09 00:18:45,2022-06-09 00:19:35,"50,645s",FAILED
,,,,,,,
Test Cases/Delete Smtp,Chrome 102.0.5005.61,,,2022-06-09 00:18:45,2022-06-09 00:19:31,"46,126s",PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-09 00:18:45,2022-06-09 00:18:47,"1,886s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.61,,,2022-06-09 00:18:47,2022-06-09 00:19:20,"32,256s",PASSED
"setText(findTestObject(""Object Repository/Quick notes/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.61,,,2022-06-09 00:19:20,2022-06-09 00:19:20,"0,805s",PASSED
"setText(findTestObject(""Object Repository/Quick notes/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.61,,,2022-06-09 00:19:20,2022-06-09 00:19:21,"0,753s",PASSED
"click(findTestObject(""Object Repository/Quick notes/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.61,,,2022-06-09 00:19:21,2022-06-09 00:19:24,"2,577s",PASSED
"click(findTestObject(""Smtp Management/Add Smtp/strong_Office Tools""))",Chrome 102.0.5005.61,,,2022-06-09 00:19:24,2022-06-09 00:19:25,"1,479s",PASSED
"click(findTestObject(""Smtp Management/Add Smtp/span_Smtp Management""))",Chrome 102.0.5005.61,,,2022-06-09 00:19:25,2022-06-09 00:19:26,"0,605s",PASSED
"setText(findTestObject(""Smtp Management/Edit and delete Smtp/input_Smtp search""), serveraddressmodify)",Chrome 102.0.5005.61,,,2022-06-09 00:19:26,2022-06-09 00:19:28,"1,948s",PASSED
"click(findTestObject(""Smtp Management/Edit and delete Smtp/td_Smtp Server Port_to delete""))",Chrome 102.0.5005.61,,,2022-06-09 00:19:28,2022-06-09 00:19:28,"0,416s",PASSED
"click(findTestObject(""Smtp Management/Edit and delete Smtp/button_Welcome, Julio Uzctegui_deleteButton""))",Chrome 102.0.5005.61,,,2022-06-09 00:19:28,2022-06-09 00:19:29,"0,511s",PASSED
"click(findTestObject(""Smtp Management/Edit and delete Smtp/button_Accept - delete""))",Chrome 102.0.5005.61,,,2022-06-09 00:19:29,2022-06-09 00:19:29,"0,698s",PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 102.0.5005.61,,,2022-06-09 00:19:29,2022-06-09 00:19:30,"1,037s",PASSED
takeFullPageScreenshot(),Chrome 102.0.5005.61,,,2022-06-09 00:19:30,2022-06-09 00:19:31,"0,710s",PASSED
,,,,,,,
Test Cases/Delete Smtp,Chrome 102.0.5005.61,,,2022-06-09 00:19:31,2022-06-09 00:19:35,"3,943s",FAILED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-09 00:19:31,2022-06-09 00:19:33,"1,324s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.61,,,2022-06-09 00:19:33,2022-06-09 00:19:35,"2,558s",FAILED
