Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
State Exceptions,Chrome 102.0.5005.115,,,2022-07-08 17:27:50,2022-07-08 17:30:22,"2m - 31,656s",FAILED
,,,,,,,
Test Cases/Edit State Exception,Chrome 102.0.5005.115,,,2022-07-08 17:27:50,2022-07-08 17:29:11,"1m - 21,041s",FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-08 17:27:51,2022-07-08 17:27:53,"1,974s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-08 17:27:53,2022-07-08 17:28:56,"1m - 3,317s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-08 17:28:56,2022-07-08 17:28:57,"0,821s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-07-08 17:28:57,2022-07-08 17:28:58,"0,746s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.115,,,2022-07-08 17:28:58,2022-07-08 17:29:00,"2,516s",PASSED
"click(findTestObject(""Queue/Add Queue/strong_Maintenance Tools""))",Chrome 102.0.5005.115,,,2022-07-08 17:29:00,2022-07-08 17:29:02,"1,938s",PASSED
"click(findTestObject(""State Exceptions/Add state exception/span_State Exceptions""))",Chrome 102.0.5005.115,,,2022-07-08 17:29:02,2022-07-08 17:29:03,"0,506s",PASSED
"setText(findTestObject(""State Exceptions/Edit state exception/input_State Exceptions_p-inputtext p-component p-element""), ""alaska"")",Chrome 102.0.5005.115,,,2022-07-08 17:29:03,2022-07-08 17:29:05,"2,697s",PASSED
"click(findTestObject(""State Exceptions/Edit state exception/button_Program_editButton""))",Chrome 102.0.5005.115,,,2022-07-08 17:29:05,2022-07-08 17:29:06,"0,469s",PASSED
"selectOptionByValue(findTestObject(""State Exceptions/Edit state exception/select_Select oneDebt - ImsConsumer Capital Advocates LLCOliver Law GroupConsumer Credit Card ReliefParagon Financial CorpLigthspeed Settlements LLC""), ""2"", false)",Chrome 102.0.5005.115,,,2022-07-08 17:29:06,2022-07-08 17:29:10,"4,302s",PASSED
"click(findTestObject(""State Exceptions/Edit state exception/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 102.0.5005.115,,,2022-07-08 17:29:10,2022-07-08 17:29:11,"0,486s",PASSED
"click(findTestObject(""State Exceptions/Edit state exception/button_Accept""))",Chrome 102.0.5005.115,,,2022-07-08 17:29:11,2022-07-08 17:29:11,"0,834s",FAILED
,,,,,,,
Test Cases/Delete State Exception,Chrome 102.0.5005.115,,,2022-07-08 17:29:11,2022-07-08 17:30:22,"1m - 10,057s",FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-08 17:29:12,2022-07-08 17:29:13,"0,955s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-08 17:29:13,2022-07-08 17:30:21,"1m - 8,645s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-08 17:30:21,2022-07-08 17:30:22,"0,106s",FAILED
