Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Profiles,Chrome 102.0.5005.115,,,2022-07-13 23:51:22,2022-07-13 23:52:29,"1m - 7,219s",ERROR
,,,,,,,
Test Cases/Profile - Systems Permissions,Chrome 102.0.5005.115,,,2022-07-13 23:51:23,2022-07-13 23:52:29,"1m - 6,222s",ERROR
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-13 23:51:24,2022-07-13 23:51:27,"3,076s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-13 23:51:27,2022-07-13 23:52:02,"35,060s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-13 23:52:02,2022-07-13 23:52:03,"0,798s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-07-13 23:52:03,2022-07-13 23:52:04,"0,713s",PASSED
"click(findTestObject(""Object Repository/Profiles/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.115,,,2022-07-13 23:52:04,2022-07-13 23:52:06,"2,542s",PASSED
"click(findTestObject(""Object Repository/Profiles/Page_Debt IMS/strong_Security""))",Chrome 102.0.5005.115,,,2022-07-13 23:52:06,2022-07-13 23:52:19,"12,766s",PASSED
"click(findTestObject(""Object Repository/Profiles/Page_Debt IMS/span_Profiles""))",Chrome 102.0.5005.115,,,2022-07-13 23:52:19,2022-07-13 23:52:20,"0,586s",PASSED
"setText(findTestObject(""Profiles/edit - delete profiles/edit - delete profiles/input_Profiles to search""), namemodify)",Chrome 102.0.5005.115,,,2022-07-13 23:52:20,2022-07-13 23:52:21,"1,216s",PASSED
"click(findTestObject(""Profiles/Permissions assign/button_Assign""))",Chrome 102.0.5005.115,,,2022-07-13 23:52:21,2022-07-13 23:52:29,"8,476s",PASSED
"selectOptionByValue(findTestObject(""Profiles/Permissions assign/Permissions assign/select_leads""), yes, false)",Chrome 102.0.5005.115,,,2022-07-13 23:52:29,2022-07-13 23:52:29,"0,110s",ERROR
