Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offer Status,Chrome 102.0.5005.115,,,2022-07-15 16:57:22,2022-07-15 16:58:30,"1m - 7,996s",PASSED
,,,,,,,
Test Cases/Delete Offer Status,Chrome 102.0.5005.115,,,2022-07-15 16:57:23,2022-07-15 16:58:30,"1m - 7,476s",PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-15 16:57:23,2022-07-15 16:57:25,"1,921s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-15 16:57:25,2022-07-15 16:58:20,"54,749s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-15 16:58:20,2022-07-15 16:58:21,"0,780s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-07-15 16:58:21,2022-07-15 16:58:21,"0,693s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.115,,,2022-07-15 16:58:21,2022-07-15 16:58:24,"2,566s",PASSED
"click(findTestObject(""Offer Status/add offer status/strong_Maintenance Tools""))",Chrome 102.0.5005.115,,,2022-07-15 16:58:24,2022-07-15 16:58:25,"0,834s",PASSED
"click(findTestObject(""Offer Status/add offer status/span_Offer Status""))",Chrome 102.0.5005.115,,,2022-07-15 16:58:25,2022-07-15 16:58:25,"0,521s",PASSED
"setText(findTestObject(""Offer Status/edit offer status/input_Offer to search""), offernamemodify)",Chrome 102.0.5005.115,,,2022-07-15 16:58:25,2022-07-15 16:58:26,"1,105s",PASSED
"click(findTestObject(""Offer Status/Delete offer status/td_Status_tdEditButton""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-15 16:58:26,2022-07-15 16:58:27,"0,822s",PASSED
"click(findTestObject(""Offer Status/Delete offer status/button_Welcome, Julio Uzctegui_deleteButton""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-15 16:58:27,2022-07-15 16:58:28,"0,505s",PASSED
"click(findTestObject(""Offer Status/Delete offer status/button_Accept""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-15 16:58:28,2022-07-15 16:58:28,"0,670s",PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-15 16:58:28,2022-07-15 16:58:29,"1,025s",PASSED
takeFullPageScreenshot(),Chrome 102.0.5005.115,,,2022-07-15 16:58:29,2022-07-15 16:58:30,"0,880s",PASSED
