Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Task Categories,Chrome 102.0.5005.115,,,2022-07-20 10:48:18,2022-07-20 10:49:06,"48,088s",FAILED
,,,,,,,
Test Cases/Delete Task Categorie,Chrome 102.0.5005.115,,,2022-07-20 10:48:19,2022-07-20 10:49:06,"47,576s",FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-20 10:48:19,2022-07-20 10:48:21,"1,911s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-20 10:48:21,2022-07-20 10:48:58,"37,063s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-20 10:48:58,2022-07-20 10:48:59,"0,847s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-07-20 10:48:59,2022-07-20 10:49:00,"0,765s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.115,,,2022-07-20 10:49:00,2022-07-20 10:49:03,"2,610s",PASSED
"click(findTestObject(""Task Categories/Add task categorie/strong_Maintenance Tools""))",Chrome 102.0.5005.115,,,2022-07-20 10:49:03,2022-07-20 10:49:03,"0,809s",PASSED
"click(findTestObject(""Task Categories/Add task categorie/span_Task Categories""))",Chrome 102.0.5005.115,,,2022-07-20 10:49:03,2022-07-20 10:49:04,"0,697s",PASSED
"setText(findTestObject(""Task Categories/edit delete task categorie/input_Task to search""), descriptionmodify)",Chrome 102.0.5005.115,,,2022-07-20 10:49:04,2022-07-20 10:49:05,"1,050s",PASSED
"click(findTestObject(""Task Categories/edit delete task categorie/button_Welcome, Julio Uzctegui_deleteButton""))",Chrome 102.0.5005.115,,,2022-07-20 10:49:05,2022-07-20 10:49:06,"0,816s",PASSED
"click(findTestObject(""Task Categories/edit delete task categorie/button_Accept""))",Chrome 102.0.5005.115,,,2022-07-20 10:49:06,2022-07-20 10:49:06,"0,520s",FAILED
