Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
File Status,Chrome 102.0.5005.115,,,2022-07-20 14:25:07,2022-07-20 14:27:42,"2m - 35,378s",PASSED
,,,,,,,
Test Cases/Edit File Status,Chrome 102.0.5005.115,,,2022-07-20 14:25:07,2022-07-20 14:26:22,"1m - 14,193s",PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-20 14:25:08,2022-07-20 14:25:10,"1,982s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-20 14:25:10,2022-07-20 14:26:04,"53,775s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-20 14:26:04,2022-07-20 14:26:04,"0,827s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-07-20 14:26:04,2022-07-20 14:26:05,"0,728s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.115,,,2022-07-20 14:26:05,2022-07-20 14:26:08,"2,616s",PASSED
"click(findTestObject(""File status/Add file status/strong_Document Tools""))",Chrome 102.0.5005.115,,,2022-07-20 14:26:08,2022-07-20 14:26:14,"6,568s",PASSED
"click(findTestObject(""File status/Add file status/span_File Status""))",Chrome 102.0.5005.115,,,2022-07-20 14:26:14,2022-07-20 14:26:15,"0,540s",PASSED
"setText(findTestObject(""File status/Edit file status/input_File to search""), name)",Chrome 102.0.5005.115,,,2022-07-20 14:26:15,2022-07-20 14:26:16,"1,159s",PASSED
"click(findTestObject(""File status/Edit file status/button_Workflow_editButton""))",Chrome 102.0.5005.115,,,2022-07-20 14:26:16,2022-07-20 14:26:17,"0,935s",PASSED
"setText(findTestObject(""File status/Edit file status/input_File Status to edit""), namemodify)",Chrome 102.0.5005.115,,,2022-07-20 14:26:17,2022-07-20 14:26:18,"0,887s",PASSED
"selectOptionByValue(findTestObject(""File status/Edit file status/select_YesNo""), ""true"", false)",Chrome 102.0.5005.115,,,2022-07-20 14:26:18,2022-07-20 14:26:19,"0,674s",PASSED
"click(findTestObject(""File status/Edit file status/button_Welcome, Julio Uzctegui_saveButton""))",Chrome 102.0.5005.115,,,2022-07-20 14:26:19,2022-07-20 14:26:19,"0,393s",PASSED
"click(findTestObject(""File status/Edit file status/button_Accept""))",Chrome 102.0.5005.115,,,2022-07-20 14:26:19,2022-07-20 14:26:20,"0,695s",PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-20 14:26:20,2022-07-20 14:26:21,"1,049s",PASSED
takeFullPageScreenshot(),Chrome 102.0.5005.115,,,2022-07-20 14:26:21,2022-07-20 14:26:22,"0,903s",PASSED
,,,,,,,
Test Cases/Delete File Status,Chrome 102.0.5005.115,,,2022-07-20 14:26:22,2022-07-20 14:27:42,"1m - 20,597s",PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-07-20 14:26:22,2022-07-20 14:26:23,"0,944s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-07-20 14:26:23,2022-07-20 14:27:31,"1m - 8,373s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-07-20 14:27:31,2022-07-20 14:27:32,"0,770s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-07-20 14:27:32,2022-07-20 14:27:33,"0,738s",PASSED
"click(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/button_Login""))",Chrome 102.0.5005.115,,,2022-07-20 14:27:33,2022-07-20 14:27:33,"0,402s",PASSED
"click(findTestObject(""File status/Add file status/strong_Document Tools""))",Chrome 102.0.5005.115,,,2022-07-20 14:27:33,2022-07-20 14:27:37,"3,268s",PASSED
"click(findTestObject(""File status/Add file status/span_File Status""))",Chrome 102.0.5005.115,,,2022-07-20 14:27:37,2022-07-20 14:27:37,"0,553s",PASSED
"setText(findTestObject(""File status/Edit file status/input_File to search""), namemodify)",Chrome 102.0.5005.115,,,2022-07-20 14:27:37,2022-07-20 14:27:38,"1,219s",PASSED
"click(findTestObject(""File status/Delete file status/td_Workflow_tdEditButton""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-20 14:27:38,2022-07-20 14:27:39,"0,848s",PASSED
"click(findTestObject(""File status/Delete file status/button_Welcome, Julio Uzctegui_deleteButton""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-20 14:27:39,2022-07-20 14:27:40,"0,552s",PASSED
"click(findTestObject(""File status/Delete file status/button_Accept""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-20 14:27:40,2022-07-20 14:27:40,"0,696s",PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-07-20 14:27:40,2022-07-20 14:27:41,"1,004s",PASSED
takeFullPageScreenshot(),Chrome 102.0.5005.115,,,2022-07-20 14:27:41,2022-07-20 14:27:42,"0,784s",PASSED
